Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-27 00:00:00+08:00,1443.0682558001893,1452.688710838857,1423.8273457228536,1428.6375732421875,4779867,0.0,0.0
2025-03-28 00:00:00+08:00,1414.206956257999,1438.25809496987,1399.7762730308768,1409.396728515625,4529681,0.0,0.0
2025-03-31 00:00:00+08:00,1366.1047767254947,1385.3456890737411,1337.243408203125,1337.243408203125,7884707,0.0,0.0
2025-04-01 00:00:00+08:00,1356.48426881555,1404.5865478515625,1356.48426881555,1404.5865478515625,6469737,0.0,0.0
2025-04-02 00:00:00+08:00,1404.5865397702528,1404.5865397702528,1380.535400390625,1380.535400390625,4501455,0.0,0.0
2025-04-07 00:00:00+08:00,1245.8489990234375,1245.8489990234375,1245.8489990234375,1245.8489990234375,1801849,0.0,0.0
2025-04-08 00:00:00+08:00,1207.367140512618,1250.65918937562,1178.5057746039497,1212.1773681640625,18444110,0.0,0.0
2025-04-09 00:00:00+08:00,1202.5568837354958,1207.3671112704378,1096.731877966772,1140.02392578125,19089246,0.0,0.0
2025-04-10 00:00:00+08:00,1250.6591796875,1250.6591796875,1250.6591796875,1250.6591796875,1930024,0.0,0.0
2025-04-11 00:00:00+08:00,1231.418321299639,1342.0535611039031,1202.5569543941788,1332.43310546875,16846917,0.0,0.0
2025-04-14 00:00:00+08:00,1356.4842250279016,1370.9149082728793,1332.4330862862723,1346.86376953125,12574667,0.0,0.0
2025-04-15 00:00:00+08:00,1351.674016739057,1361.2944723742105,1322.8126498335969,1332.43310546875,6567345,0.0,0.0
2025-04-16 00:00:00+08:00,1318.0023662860576,1332.4330491286055,1313.192138671875,1313.192138671875,5403460,0.0,0.0
2025-04-17 00:00:00+08:00,1289.14111328125,1298.761569350513,1265.0899731080922,1289.14111328125,6686132,0.0,0.0
2025-04-18 00:00:00+08:00,1298.761455829327,1327.622821514423,1293.9512282151445,1313.192138671875,3455357,0.0,0.0
2025-04-21 00:00:00+08:00,1303.571749662378,1303.571749662378,1274.7103825111817,1293.9512939453125,3022376,0.0,0.0
2025-04-22 00:00:00+08:00,1279.5205453725962,1303.5716834435095,1250.6591796875,1250.6591796875,4954354,0.0,0.0
2025-04-23 00:00:00+08:00,1289.1409546789462,1322.8125467787693,1289.1409546789462,1318.0023193359375,6070924,0.0,0.0
2025-04-24 00:00:00+08:00,1322.812681269825,1322.812681269825,1274.7104019509222,1279.5206298828125,6035060,0.0,0.0
2025-04-25 00:00:00+08:00,1322.8126968162646,1337.243380781533,1318.0024688278418,1327.6229248046875,6909233,0.0,0.0
2025-04-28 00:00:00+08:00,1332.433068395544,1337.2432960792826,1298.761474609375,1298.761474609375,5231320,0.0,0.0
2025-04-29 00:00:00+08:00,1298.76140956461,1318.0023193359375,1284.3307272361142,1318.0023193359375,5633730,0.0,0.0
2025-04-30 00:00:00+08:00,1318.0023853443288,1318.0023853443288,1298.761474609375,1298.761474609375,5374395,0.0,0.0
2025-05-02 00:00:00+08:00,1318.0023662860576,1318.0023662860576,1241.0387244591343,1250.6591796875,16309878,0.0,0.0
2025-05-05 00:00:00+08:00,1260.2796824098093,1284.3308213870955,1241.03877122798,1245.8489990234375,7202362,0.0,0.0
2025-05-06 00:00:00+08:00,1245.849018573761,1250.659246444702,1226.6081070899963,1231.4183349609375,6945409,0.0,0.0
2025-05-07 00:00:00+08:00,1236.2286104090074,1250.659294577206,1216.9876981847426,1226.608154296875,5876206,0.0,0.0
2025-05-08 00:00:00+08:00,1236.228590381238,1255.4695022937865,1226.6081344249635,1241.038818359375,5977244,0.0,0.0
