Timestamp,Mode,Action,Side,Price,Quantity,PnL,Balance,Note
2026-04-15 17:52:30,V2,THETA_ENTRY,THETA,183,1,0.0,0.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 17:53:31,V2,THETA_EXIT,iron_condor,0,1,-1.0,-1.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-1
2026-04-15 18:00:34,V2,THETA_ENTRY,THETA,183,1,0.0,-1.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 18:02:35,V2,THETA_EXIT,iron_condor,0,1,-0.0,-0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-0
2026-04-15 20:10:21,V2,THETA_ENTRY,THETA,183,1,0.0,-1.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 20:10:28,V2,THETA_ENTRY,THETA,183,1,0.0,-1.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 20:13:23,V2,THETA_EXIT,iron_condor,0,1,0.0,0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=0
2026-04-15 20:13:30,V2,THETA_EXIT,iron_condor,0,1,-0.0,-0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-0
2026-04-15 20:29:34,V2,THETA_ENTRY,THETA,183,1,0.0,-1.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 20:29:39,V2,THETA_ENTRY,THETA,183,1,0.0,-1.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 20:30:35,V2,THETA_EXIT,iron_condor,0,1,-1.0,-1.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-1
2026-04-15 20:30:39,V2,THETA_EXIT,iron_condor,0,1,-1.0,-1.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-1
2026-04-15 21:33:53,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 21:33:53,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 21:34:53,V2,THETA_EXIT,iron_condor,0,1,-0.0,-0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-0
2026-04-15 21:34:53,V2,THETA_EXIT,iron_condor,0,1,0.0,0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=0
2026-04-15 21:38:56,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 21:38:56,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 21:39:56,V2,THETA_EXIT,iron_condor,0,1,0.0,0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=0
2026-04-15 21:39:57,V2,THETA_EXIT,iron_condor,0,1,0.0,0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=0
2026-04-15 22:10:12,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 22:10:19,V2,THETA_ENTRY,THETA,183,1,0.0,-3.0,credit=183 max_loss=17 strategy=iron_condor [SELL P36900 | BUY P36700 | SELL C37300 | BUY C37500]
2026-04-15 22:14:14,V2,THETA_EXIT,iron_condor,0,1,-0.0,-0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-0
2026-04-15 22:14:21,V2,THETA_EXIT,iron_condor,0,1,-0.0,-0.0,SQUEEZE_RELEASE (vol expanding) credit=183 pnl=-0
